C,max_iter,train_accuracy,val_accuracy,test_accuracy
0.001,0,0.8421588594704684,0.8348623853211009,0.850609756097561
0.001,1,0.8421588594704684,0.8348623853211009,0.850609756097561
0.001,2,0.8482688391038696,0.8348623853211009,0.8689024390243902
0.001,3,0.8513238289205702,0.8409785932721713,0.8689024390243902
0.001,4,0.8523421588594705,0.8379204892966361,0.8689024390243902
0.001,5,0.8543788187372708,0.8379204892966361,0.8689024390243902
0.001,6,0.8615071283095723,0.8440366972477065,0.8719512195121951
0.001,7,0.860488798370672,0.8470948012232415,0.8689024390243902
0.001,8,0.8594704684317719,0.8501529051987767,0.8719512195121951
0.001,9,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,10,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,11,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,12,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,13,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,14,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,15,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,16,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,17,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,18,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,19,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,20,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,21,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,22,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,23,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,24,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,25,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,26,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,27,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,28,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,29,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,30,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,31,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,32,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,33,0.8615071283095723,0.8501529051987767,0.8719512195121951
0.001,34,0.8615071283095723,0.8501529051987767,0.8719512195121951
