C,max_iter,mean_accuracy,std_accuracy,time
0.001,10,0.8114503816793892,0.029227770563475797,0.028481006622314453
0.001,20,0.8114503816793892,0.029227770563475797,0.016424179077148438
0.001,30,0.8114503816793892,0.029227770563475797,0.019797801971435547
0.001,40,0.8114503816793892,0.029227770563475797,0.015271902084350586
0.001,50,0.8114503816793892,0.029227770563475797,0.01839590072631836
0.001,60,0.8114503816793892,0.029227770563475797,0.01882171630859375
0.001,70,0.8114503816793892,0.029227770563475797,0.015388011932373047
0.001,80,0.8114503816793892,0.029227770563475797,0.013946771621704102
0.001,90,0.8114503816793892,0.029227770563475797,0.014294147491455078
0.001,100,0.8114503816793892,0.029227770563475797,0.013814926147460938
0.01,10,0.8480916030534352,0.027031956045230215,0.015518903732299805
0.01,20,0.8458015267175572,0.026945591747668404,0.01869797706604004
0.01,30,0.8458015267175572,0.026945591747668404,0.019392967224121094
0.01,40,0.8458015267175572,0.026945591747668404,0.018702030181884766
0.01,50,0.8458015267175572,0.026945591747668404,0.019739151000976562
0.01,60,0.8458015267175572,0.026945591747668404,0.019290924072265625
0.01,70,0.8458015267175572,0.026945591747668404,0.01978898048400879
0.01,80,0.8458015267175572,0.026945591747668404,0.019147157669067383
0.01,90,0.8458015267175572,0.026945591747668404,0.022390127182006836
0.01,100,0.8458015267175572,0.026945591747668404,0.04249906539916992
0.1,10,0.866412213740458,0.03024673703230373,0.019149065017700195
0.1,20,0.8641221374045802,0.027901781499995504,0.03145098686218262
0.1,30,0.8633587786259543,0.02808911372973144,0.030441999435424805
0.1,40,0.8633587786259543,0.02808911372973144,0.0287322998046875
0.1,50,0.8633587786259543,0.02808911372973144,0.02524113655090332
0.1,60,0.8633587786259543,0.02808911372973144,0.02687811851501465
0.1,70,0.8633587786259543,0.02808911372973144,0.026037931442260742
0.1,80,0.8633587786259543,0.02808911372973144,0.026256799697875977
0.1,90,0.8633587786259543,0.02808911372973144,0.026265859603881836
0.1,100,0.8633587786259543,0.02808911372973144,0.025929927825927734
1.0,10,0.8709923664122139,0.024782722260683867,0.014515876770019531
1.0,20,0.8786259541984732,0.0254783500279063,0.021853208541870117
1.0,30,0.8755725190839694,0.022464028961163614,0.03126811981201172
1.0,40,0.8763358778625955,0.023848090613455424,0.03821587562561035
1.0,50,0.8770992366412214,0.025016747493395306,0.036596059799194336
1.0,60,0.8770992366412214,0.025016747493395306,0.03793501853942871
1.0,70,0.8770992366412214,0.025016747493395306,0.03827786445617676
1.0,80,0.8770992366412214,0.025016747493395306,0.03876304626464844
1.0,90,0.8770992366412214,0.025016747493395306,0.037445783615112305
1.0,100,0.8770992366412214,0.025016747493395306,0.03632616996765137
10.0,10,0.8725190839694659,0.024688491036330123,0.01601719856262207
10.0,20,0.8755725190839694,0.026509550159061597,0.023055076599121094
10.0,30,0.8687022900763358,0.024211834392601078,0.029277801513671875
10.0,40,0.8687022900763358,0.025386700989795275,0.03748202323913574
10.0,50,0.8694656488549619,0.025931737025134398,0.04399394989013672
10.0,60,0.8702290076335878,0.021591046753787705,0.10127615928649902
10.0,70,0.8702290076335878,0.021591046753787705,0.05869603157043457
10.0,80,0.8702290076335878,0.021591046753787705,0.061395883560180664
10.0,90,0.8709923664122139,0.021912519228102775,0.06195378303527832
10.0,100,0.8709923664122139,0.021912519228102775,0.06223011016845703
100.0,10,0.8725190839694659,0.024688491036330123,0.016210317611694336
100.0,20,0.8763358778625955,0.025728701597485065,0.021986007690429688
100.0,30,0.8679389312977099,0.022203113850761822,0.02912425994873047
100.0,40,0.8702290076335878,0.024970117914192572,0.036312103271484375
100.0,50,0.865648854961832,0.022567550380296904,0.04283499717712402
100.0,60,0.8679389312977099,0.02396995185970622,0.04924917221069336
100.0,70,0.8694656488549619,0.023823643563858358,0.05626320838928223
100.0,80,0.8702290076335878,0.02019657489362282,0.06216716766357422
100.0,90,0.8694656488549619,0.021237294264493986,0.07126188278198242
100.0,100,0.8694656488549619,0.02243807397969323,0.06848692893981934
