Grid Search Results for Decision Tree Parameters
============================================================

Number of training samples: 1310
Number of features: 93
Number of classes: 3
Cross-validation folds: 5

Max Depth  Min Samples Split    Mean Accuracy   Std Dev    Time (s)  
9          12                   0.806107      0.019069   0.02
9          13                   0.804580      0.019221   0.02
9          14                   0.805344      0.018542   0.02
9          15                   0.806107      0.017640   0.02
9          16                   0.803053      0.016121   0.02
9          17                   0.806870      0.017001   0.02
9          18                   0.803817      0.013133   0.02
9          19                   0.806107      0.011924   0.02
9          20                   0.806107      0.011924   0.02
10         2                    0.803817      0.040580   0.03
10         3                    0.807634      0.038061   0.03
10         4                    0.806870      0.034865   0.02
10         5                    0.803817      0.031251   0.02
10         6                    0.809160      0.036689   0.02
10         7                    0.806870      0.027797   0.02
10         8                    0.805344      0.031381   0.02
10         9                    0.805344      0.024499   0.02
10         10                   0.803817      0.023848   0.02
10         11                   0.805344      0.020052   0.02
10         12                   0.802290      0.021779   0.02
10         13                   0.802290      0.023578   0.02
10         14                   0.803817      0.022722   0.02
10         15                   0.807634      0.020139   0.02
10         16                   0.809924      0.023824   0.02
10         17                   0.809924      0.021779   0.02
10         18                   0.804580      0.017474   0.02
10         19                   0.804580      0.018761   0.02
10         20                   0.805344      0.017574   0.02
11         2                    0.801527      0.028460   0.03
11         3                    0.800763      0.039177   0.03
11         4                    0.798473      0.036080   0.03
11         5                    0.802290      0.027566   0.03
11         6                    0.801527      0.033967   0.03
11         7                    0.801527      0.029068   0.03
11         8                    0.795420      0.035609   0.03
11         9                    0.803817      0.027902   0.02
11         10                   0.798473      0.026155   0.02
11         11                   0.799237      0.022071   0.02
11         12                   0.802290      0.025133   0.03
11         13                   0.797710      0.023897   0.03
11         14                   0.800000      0.023970   0.02
11         15                   0.803053      0.023970   0.02
11         16                   0.803053      0.023970   0.02
11         17                   0.807634      0.026066   0.02
11         18                   0.800000      0.017837   0.02
11         19                   0.800763      0.018447   0.02
11         20                   0.801527      0.018384   0.02
12         2                    0.802290      0.025133   0.03
12         3                    0.806870      0.027902   0.03
12         4                    0.800763      0.034087   0.03
12         5                    0.798473      0.028193   0.03
12         6                    0.800763      0.029108   0.03
12         7                    0.799237      0.027375   0.03
12         8                    0.808397      0.029800   0.03
12         9                    0.803053      0.026946   0.03
12         10                   0.805344      0.028867   0.03
12         11                   0.807634      0.024688   0.03
12         12                   0.803053      0.024451   0.03
12         13                   0.807634      0.026619   0.03
12         14                   0.804580      0.024783   0.03
12         15                   0.807634      0.022850   0.03
12         16                   0.807634      0.022850   0.03
12         17                   0.806870      0.021806   0.03
12         18                   0.802290      0.015903   0.03
12         19                   0.804580      0.015719   0.02
12         20                   0.804580      0.014763   0.02
13         2                    0.803053      0.025615   0.03
13         3                    0.799237      0.027375   0.03
13         4                    0.799237      0.037131   0.03
13         5                    0.799237      0.020989   0.03
13         6                    0.799237      0.022203   0.03
13         7                    0.798473      0.026707   0.03
13         8                    0.803053      0.029028   0.03
13         9                    0.798473      0.025249   0.03
13         10                   0.800763      0.024783   0.03
13         11                   0.798473      0.020254   0.03
13         12                   0.799237      0.019402   0.03
13         13                   0.803817      0.022850   0.03
13         14                   0.801527      0.021992   0.03
13         15                   0.806107      0.020110   0.03
13         16                   0.805344      0.019007   0.03
13         17                   0.806870      0.019099   0.03
13         18                   0.804580      0.017137   0.03
13         19                   0.799237      0.014802   0.03
13         20                   0.800000      0.014998   0.03
14         2                    0.804580      0.025706   0.03
14         3                    0.795420      0.030876   0.03
14         4                    0.794656      0.032242   0.03
14         5                    0.800000      0.030592   0.03
14         6                    0.802290      0.031045   0.03
14         7                    0.800763      0.031603   0.03
14         8                    0.800000      0.028316   0.03
14         9                    0.802290      0.033396   0.03
14         10                   0.801527      0.029956   0.03
14         11                   0.802290      0.026924   0.03
14         12                   0.800763      0.028806   0.03
14         13                   0.803053      0.028316   0.03
14         14                   0.802290      0.026707   0.03
14         15                   0.806107      0.026377   0.03
14         16                   0.804580      0.025017   0.03
14         17                   0.805344      0.024140   0.03
14         18                   0.803817      0.021939   0.03
14         19                   0.803817      0.018946   0.03
14         20                   0.800763      0.017137   0.03
15         2                    0.804580      0.035264   0.03
15         3                    0.804580      0.033570   0.03
15         4                    0.800000      0.032530   0.03
15         5                    0.796947      0.037350   0.03
15         6                    0.800000      0.031344   0.03
15         7                    0.798473      0.026155   0.03
15         8                    0.801527      0.027523   0.03
15         9                    0.796947      0.032780   0.03
15         10                   0.800000      0.028521   0.03
15         11                   0.800763      0.031879   0.03
15         12                   0.798473      0.028296   0.03
15         13                   0.800000      0.027692   0.03
15         14                   0.799237      0.029426   0.03
15         15                   0.803817      0.028623   0.03
15         16                   0.802290      0.027247   0.03
15         17                   0.801527      0.021319   0.03
15         18                   0.801527      0.023154   0.03
15         19                   0.801527      0.020625   0.03
15         20                   0.801527      0.020625   0.03

------------------------------------------------------------
Best parameters: max_depth=7, min_samples_split=2
Best cross-validation accuracy: 0.822137

Cross-validation scores by fold:
Fold 1: 0.820611
Fold 2: 0.793893
Fold 3: 0.847328
Fold 4: 0.851145
Fold 5: 0.797710
Standard deviation: 0.023970
